ID;Název;Stavba;Investor;Klient;"Rozsah služby";Realizace;"Rozpočtové náklady";Popis;Datum;Č.zak.;HIP;Menu;"Významná reference"
21;"Arkády Pankrác";"Obchodní galerie Arkády Pankrác, Praha 4";"ECE Projektmanagement Praha s.r.o.";"Strabag a.s.";"RDS 2007-2008";2007-2008;"Hrubá stavba 350mil.Kč";"Obchodní a společenské centrum Praha 4 - Pankrác, budova D je navrhováno jako relativně nízká a rozlehlá budova s jedním suterénem, se čtyřmi nadzemními podlažími a pojížděnou střechou. Objekt je projektován se třemi obchodními podlažími v suterénu, přízemí a v prvním patře o celkové prodejní ploše zhruba 31400 m2. V každém podlaží je v západní části situována plošně největší obchodní jednotka, ve zbylé části prostorů jsou menší obchody, provozovny nabízející různé druhy služeb, stravovací zařízení a kavárny.%%Vstup do obchodních jednotek bude organizován z pasáží a z ¨podloubí¨ v jihovýchodní části objektu. Východozápadní pasáž a příčná severojižní pasáž jsou vzájemně uspořádány ve tvaru písmene T.%% Přístup denního světla do suterénní a nadzemní východozápadní pasáže je zajištěn souvislou skleněnou střechou. Příčná severojižní pasáž bude zdůrazněna střešním světlíkem nad vysokým vertikálním prostorem. Místo průniku pasáží tvoří veřejné kryté ¨náměstí¨, které bude shromažďovacím a obchodním prostorem s možností pořádání různých akcí a aktivit.%%Ve třetím a čtvrtém nadzemním podlaží a na pojížděné střeše budou umístěny parkovací plochy pro motorizované návštěvníky. Při kapacitě parkovacích ploch 29000 m2 je navrženo cca 700 parkovacích stání. Vjezd osobních automobilů a vozidel zásobování je řešen z ulice Hvězdovy, která bude rozšířena na čtyřpruhovou komunikaci se středním dělícím pruhem osázeným vysokou zelení.%%Nosná konstrukce objektu je navržena jako železobetonový skelet, sestávající v běžném případě z podélných spojitých průvlaků na rozpětí 10,0 m a a příčně pnutých filigránových desek, vylehčených polystyrenovými jádry. Rozpětí deskových polí je 8,25 m a 12,25 m, podélná i příčná obchodní pasáž (mall) o rozpětí 16,50 m je přemostěna systémem vedlejších nosníků.%% Podzemní podlaží včetně průběžné základové desky je navrženo jako vodotěsná železobetonová konstrukce (bílá vana).";"12. 03. 2015";19807.2-1;VV;pstavby;
90;"Bauhaus Dolní Chabry";"Nákupní středisko Bauhaus, Praha Dolní Chabry";"Bauhaus Immo Praha";"F.S.P. s.r.o.";"RDS a VD 1999";1999;"30 mil. Kč";"Nákupní středisko firmy Bauhaus v Praze Dolních Chabrech sestává z prodejní haly rozměrů 91 x 112 m, technologické části, objektu zahradního centra a venkovních skladů. Součástí projektu nosných konstrukcí byl také návrh retenčních nádrží, opěrných zdí a stožáru reklamního poutače výšky 25 m. Jednostupňová RDS byla zpracovávána současně s výstavbou objektů.%%_x000D__x000D_
Hlavní hala s rastrem sloupů 16 x 23 m je navržena jako montovaná konstrukce z tyčových železobetonových prefabrikátů, střešní vazníky jsou předpjaté. S ohledem na proměnnou geotechnickou skladbu podloží bylo navrženo hlubinné založení. Jednotlivé sloupy skeletu byly založeny na osamělých velkoprůměrových pilotách, za účelem další minimalizace nákladů bez ztužení v úrovni základů. Jelikož nebylo možné z dispozičních důvodů navrhnout ztužení ani v nadzemní části objektu, bylo nutné sloupy vyšetřovat dle teorie 2. řádu s pružným vetknutím v úrovni hlav pilot.%%_x000D_
_x000D_
Dalším důležitým aspektem při návrhu nosné konstrukce byla rychlost výstavby, tj. snaha o maximální využití prefabrikace. Proto byly i vodotěsné konstrukce technologické části navrženy v kombinaci monolit/prefa. Nosné konstrukce venkovních skladů a zahradního centra byly řešeny jako ocelové, příhradová konstrukce jehlanu zastřešení je navržena na rozpětí 35 m.%%_x000D_
_x000D_
Projekt komunikací řeší návrh parkovišť a obslužných komunikací areálu s připojením na silniční síť._x000D_
";"12. 03. 1999";905-235;VV;pstavby;
75;"Blažovice – Nezamyslice";"Modernizace trati Brno – Přerov, I. Etapa Blažovice-Nezamyslice";"SŽDC s.o., SS Olomouc";"SUDOP Praha a.s.";"Přípravná dokumentace";"V přípravě";"270 mil. Kč";"Obsahem projektu je  návrh komunikací, zpevněných ploch a dopravních opatření v rámci modernizace a rekonstrukce stávající železniční trati Brno – Přerov v úseku Blažovice - Nezamyslice. Konkrétně se jedná o návrh šestnácti stavebních objektů. %%_x000D_Z projekčního hlediska se jedná převážně o úpravy komunikací v místech rušených přejezdů a nových mimoúrovňových křížení, návrhy obslužných komunikací a zpevněných ploch v návaznosti na nově navrhované kolejiště. Mimo jiné se jedná o přeložky silnic druhé a třetí třídy v délce několika kilometrů včetně návrhu nového obchvatu obce Rousínov.%%_x000D_
Konstrukce komunikací a zpevněných ploch byly navrženy s ohledem na předpokládané dopravní zatížení. Nedílnou součástí projekčních prací byla i koordinace se souvisejícími stavebními objekty. Součástí projektu je rovněž řešení dopravních opatření pro celou stavbu._x000D_
";"12. 03. 2015";25008.1-2;JH;dstavby;
1;"Bondy centrum";"Bondy centrum Mladá Boleslav";"RLRE SIGMA PROPERTY a.s.";"4A architekti, s. r. o.";"RDS 2006 - 2007";"2006 - 2007";"Hrubá stavba 180 mil. Kč";"Bondy Centrum se nachází v intravilánu města Mladá Boleslav, na rozhraní areálu Škoda Auto a.s. a městské zástavby. Představuje typicky vnitroměstské obchodně zábavní centrum, těžící ze své výhodné polohy podél frekventované komunikace V. Klementa, na spojnici autobusového a vlakového nádraží a zároveň při zaměstnaneckém vstupu do továrny Škoda Auto. %%Architektonický koncept Bondy Centra byl vystavěn na motivu karoserie automobilu. Rychlost a dynamičnost se propsaly do tvaru budovy jako dvě křivky ubíhající po třídě Václava Klementa jedna do centra, a druhá směrem na Kosmonosy. Na Bondy centru zanechají stopu v podobě členitého tvaru, který je v záměrném kontrastu s uniformitou prostředí paneláků a továrních hal v blízkém okolí. %%Objekt je výškově členitý objekt s maximálně pěti nadzemními podlažími. Má jedno podzemní podlaží, které obsahuje technické zázemí a sklady a dvouúrovňový parking pro návštěvníky a zaměstnance centra. %%Velice komplikovaný byl návrh založení objektu. Původně předpokládané založení na patkách bylo s ohledem na velice obtížnou těžitelnost skalních vrstev přepracováno na průběžnou přímo pojížděnou základovou desku. Dalším problémem založení byla přítomnost městské kanalizační stoky, která prochází napříč objektem Bondy centra v hloubce cca 5,5 m a rozvětvuje se, základovou desku je tedy v místech kolize se stokou nutno přemostit. Železobetonová nosná konstrukce je navržena jako skelet, tvořený spojitými monolitickými nosníky a příčně pnutými filigránovými stropními deskami. Problematické byly oblasti podél mallu, kde bylo nutno konzoly o vyložení až 7 m lokálně předepnout. Dalším problémem bylo vedení páteřních vzduchotechnických sítí, pro které bylo nutno navrhnout ¨na míru¨ velké otvory v primárních nosnících. V rámci objektu Bondy centra byla navržena a realizována rovněž mostní konstrukce ¨Zakrytí trati¨, která vytváří rozptylové náměstí před hlavním vstupem do objektu.";"12. 03. 2015";18006.1-1;VV;pstavby;
91;"Bonita Zásmuky";"Výrobní Areál firmy Bonita II (Hügli Food) Zásmuky";"Hügli Food";"Hochtief VSB a.s.";RDS;2002;"25 mil.Kč";"V rámci přestavby stávajícího výrobního areálu „Dřevovýroba Zásmuky“ pro potřeby potravinářské výroby suchých směsí firmy BONITA (dnes Hügli Food) byly vybudovány dva nové objekty – jednopodlažní skladová hala a dvoupodlažní výrobní hala s vestavěnou technologickou plošinou.%%_x000D_Výrobní hala o půdorysných rozměrech cca 46 x 23m a maximální výšce 14m je navržena jako železobetonový skelet se silně zatíženou vodorovnou konstrukcí, navrženou jako spřažený průřez beton-beton. Dispoziční návrh nosné konstrukce je dán požadavky technologie výroby. V příčném směru haly je zvolen modul 2 x 11m, v podélném směru 9 x 5m. Do budoucna je uvažováno s rozšířením výroby.%%_x000D_
Hlavní patrové rámy o dvou polích na rozpětí 2x11m jsou zmonolitněny příčně pnutou spřaženou stropní deskou, navrženou na užitné zatížení 20kN/m2. Návrh nosné konstrukce musel respektovat požadavek využití technologií výrobce, rychlé montáže kompletního skeletu a následné dokončení stropních desek.%%_x000D_
Realizována byla varianta s krajními průběžnými sloupy, střední sloupy byly dělené se stykováním výztuže sloupů přes příložky. Spojitá deska tloušťky 200mm byla navržena jako spřažená beton-beton na rozpětí 5,0m bez montážního podepření s využitím filigránových nosníků s tlačeným betonovým pasem. Důvodem byla značná výška podlaží a s tím spojené náklady při nutnosti podstojkování._x000D_
";"12. 03. 2015";02802.1-1;VV;pstavby;
49;"Břevnov – oprava komunikací";"Oprava komunikací v Praze 6 Břevnově";"Hlavní město Praha zastoupené TSK hl. m. Prahy";"D Plus, projektová a inženýrská a.s.";"DSP 2004, RDS 2004";2004;"18 mil. Kč";"Projektová dokumentace řeší opravu ulic v Praze 6 – Břevnově, a to ulice Za Strahovem v úseku Bělohorská – 30 m za ulicí Šlikovou,  Fastrova, Tejnka a Zúžená. Jedná se o ulice v oblasti jižně od ulice Bělohorská, mezi Drinopolem a Královkou. Půdorysné řešení vozovek a chodníků zůstává nezměněno. Rozsah navržené opravy vychází z požadavku ÚMČ Praha 6 a TSK OS.%%_x000D_Návrh navazuje na myšlenky a zásady uspořádání území, formulované občanským sdružením Tejnka (a zpracované v předchozí studii ing. arch. Petra Husáka), tj. zejména zklidnění dopravy v oblasti, obnovení historických kamenných dlažeb a městského parteru a připomenutí poutní cesty a zaniklé kaple v ul. Za Strahovem.%%_x000D_
Celkově se tedy jedná o rekonstrukci ulic o délce cca 475m, šířky vozovek jsou od 3,25 do 7m, šířky chodníků od 0,5 do 3,15m. Příčné sklony se pohybují v rozmezí 0,5 až 4% a podélné -3,5 až 11,3%. Tam kde je to možné, je na vozovku znovu použita stávající historická řevnická dlažba v zájmu zachování historické hodnoty dané lokality, v ostatních případech se navrhla velká žulová dlažba. Chodníky jsou navrženy z mozaikové dlažby, VD v místě odstavu vozidel. Kryt vjezdů je z drobné  příp. velké žulové dlažby.  Poloha stávajících UV zůstává zachována. Přilehlá zeleň je upravena, prostor ohumusován a zatravněn._x000D_
";"12. 03. 2015";11304.1-2;JB;dstavby;
37;"Břevnov Tejnka";"Praha 6 Břevnov Tejnka – studie řešení parteru ";"Městská část Praha 6";"D Plus, projektová a inženýrská a.s.";"Studie 2004, DSP+RDS komunikací 2005";;;"V rámci projektu „Opravy komunikací v oblasti Břevnova“ zpracovaného firmou VIN Consult je řešeno i území vyhlášené památkové zóny Tejnka. Toto území, zahrnující oblast ulic Nad Tejnkou, Za Strahovem a U Dvora je proto zejména z hlediska památkové ochrany velmi exponované. Územím prochází trasa bývalé poutní cesty z Lorety do Hájku u Červeného Újezda, která se postupně obnovuje.%%_x000D_Proto bylo dohodnuto zpracovat jako podklad pro projektové řešení oprav komunikací samostatnou urbanisticko-architektonickou studii řešení parteru, zaměřenou zejména na problematiku parteru památkové zóny. Pro zbytek území, které leží v ochranném pásmu památkové zóny, byla rovněž navrženy zásady uspořádání uličních prostorů a doporučeno materiálové řešení. Studii zpracovala architektonická kancelář VHE ve spolupráci s VIN Consult.%%_x000D_
Návrh navazuje na myšlenky a zásady uspořádání území, formulované občanským sdružením Tejnka, tj. zejména zklidnění dopravy v oblasti, obnovení historických kamenných dlažeb a městského parteru a připomenutí poutní cesty a zaniklé kaple v ul. Za Strahovem._x000D_
";"12. 03. 2015";11304.1-2;;dstavby;
2;"Brod n. Tichou";"Obchvat Brod n. Tichou, Mosty přes vodoteč a polní cestu";"Ředitelství silnic a dálnic ČR";"SUDOP PRAHA a. s.";"RDS 2001";"2001 - 2003";"45 mil. Kč";"Silniční most o dvou polích v přechodnici a v podélném sklonu 0,5 % se nachází v extravilánu v katastru obce Brod nad Tichou. Nosnou konstrukci pole č. 1 tvoří železobetonová rozpěráková deska s rozpětím 10,3 m a tloušťkou 700 mm a pole č. 2 tvoří ocelobetonová spřažená konstrukce. Hlavní nosný systém sestává ze 4 hlavních svařovaných ocelových nosníků profilu I výšky 1550 mm s nesymetrickými pásnicemi. Osová vzdálenost nosníků je 3200 mm. Délka nosníku je 36,5 m. Mostovku tvoří železobetonová deska proměnné tloušťky od 273 mm do 290 mm. Nosníky byly smontovány na skruži. Spodní stavba sestává ze dvou opěr a společného tvarově složitého pilíře, na kterém je uložena jak rozpěráková část tak spřažená část mostu.";"12. 03. 2015";1-111-595;PK;mosty;
46;Broumarská;"Rekonstrukce ulice Broumarské";"TSK hl. m. Prahy";"TSK hl. m. Prahy";"DUR 1996, DSP 1998-2004,  RDS 2004-2008";2005-2008;"130 mil.Kč (KOM 80 mil.Kč+VODA 50 mil. Kč)";"Broumarská ulice v Praze 14 tvoří dopravně významnou spojku mezi komunikacemi Českobrodskou a Chlumeckou. V rámci celkové rekonstrukce komunikace v délce cca 1,2km bylo nově řešeno i náměstí v prostoru areálu bývalé školy a kostela Sv.Bartoloměje. Součástí přípravy stavby byly průzkumy a studie řešící ve variantách okolí areálu kostela včetně dopadu stavební činnosti na stabilitu kulturní památky._x000D_%%Jedná se o rekonstrukci komunikace Broumarské v úseku cca od křižovatky Broumarská – Českobrodská po přemostění Botiče s  úpravou stávajících inženýrských sítí. Celková délka úpravy 1200 m, šířka vozovky 8 m.%% Nově rekonstruovaná Broumarská ulice je navržena v kategorii MS 9,0/50 s šířkou jízdního pruhu 3,5 m. Jedná se o místní komunikaci funkční skupiny B, funkční třídy 2, sběrná komunikace s funkcí dopravně obslužnou._x000D_
Velká část vynaložených investičních nákladů je využita pro rekonstrukci, opravu a doplnění inženýrských sítí. Jednalo se především o nové odvodnění komunikace, vodovodní řady a přeložky kabelových sítí.%%Odvodnění - tři nové dešťové kanalizační řady, přípojky uličních vpustí a nová dešťová usazovací nádrž řeší kompletně odvodnění komunikace; %%Vodovody - 450 m nového vodovodního řadu DN 200 včetně přípojek. V prostoru mostního objektu je řad zavěšen nad tratí ČD. %%Součástí stavby bylo rovněž několik inženýrských objektů. Jednalo se o rekonstrukci třípolového nadjezdu nad tratí ČD a dvě opěrné zdi podél komunikace. ";"12. 03. 2015";04604.4-2;JB;dstavby;
4;"CČM - Parking ";"Zábavní centrum - Parking Černý most, Praha 9";"Intershop Praha";"HOCHTIEF VSB a.s.";"RDS 1999 - 2000";"2000 - 2001";"Hrubá stavba 60 mil. Kč";"Stavba čtyřpodlažního objektu krytých parkovacích stání pro 500 vozidel Zábavního centra Černý Most je navržena jako železobetonová konstrukce, tvořící zároveň architekturu budovy. Staticko-konstrukční řešení muselo umožnit realizaci kompletní stavby v termínu 4 měsíců a využívá v maximální míře prefabrikace, zároveň musí zaručit vodotěsnost obvodových stěn a stropních desek bez izolace. Základním principem architektonického řešení bylo využití výškového rozdílu mezi obslužnými komunikacemi Zábavního centra, který činí 10,0 m. Z tohoto výškového rozdílu vyplývá i zvolená konstrukční výška jednotlivých podlaží (3,33 m) parkingu, což vede na stupňovité uspořádání jednotlivých podlaží s propojovacími rampami po stranách objektu. Mezi rampami byl navržen parkovací prostor o podélném modulu 5 resp. 10 m a příčném modulu 3 x 16,5 m. Výsledný návrh nosné konstrukce byl dán technologickými podmínkami dodavatele a požadavky na rychlost výstavby. Konstrukční řešení stropních desek muselo umožnit nezávislé pokládání podlahových stěrek v jednotlivých podlažích, tzn. nebylo přípustné podskružení nebo montážní podepření stropů. Důvodem byly požadované lhůty výstavby a skutečnost, že užitné zatížení stropů je nižší, než vlastní tíha stropních desek následujících podlaží. Navržena byla kompaktní betonová konstrukce, která kombinuje výhody železového a předpjatého betonu dle požadavku na danou konstrukční část.";"12. 03. 2015";1-103-125;VV;pstavby;
